,Unnamed: 0.1,Unnamed: 0,number,Mean_MeanAct,Mean_Q99Act,Std_MeanAct,Std_Q99Act,CV_MeanAct,CV_Q99Act
7,7,7,condition_8,200.44375,1804.8099999999963,95.16915782681934,745.7196214529956,0.4747923436216861,0.4131845576282252
22,22,22,condition_23,246.3935049019608,1555.232352941175,59.11356960550956,239.2106039280396,0.2399152917161134,0.1538102030064233
37,14,14,control_15,291.7062996031746,1873.499285714281,51.20261817785179,227.3967957105978,0.1755279822462036,0.1213754376340216
13,13,13,condition_14,73.91934523809525,854.0621428571416,24.9375080996298,322.49220599236696,0.3373610523646514,0.3775980573421927
52,29,29,control_30,218.86478174603167,1494.918571428569,69.88155308859963,450.2417285082637,0.3192909911366617,0.30118144032287
29,6,6,control_7,360.26116071428567,2557.2092857142816,127.2776093331119,1520.2881178172706,0.3532926199448201,0.5945106356019753
34,11,11,control_12,139.7829166666667,915.6193333333327,48.59936952073608,190.0240361287661,0.3476774607345514,0.2075360678951364
35,12,12,control_13,175.27683531746035,1232.5328571428558,65.25758054440989,264.44957182298987,0.3723114947061644,0.2145578272339226
15,15,15,condition_16,224.40470679012344,1594.2294444444422,75.56880325822479,377.17739595225015,0.3367523094286128,0.2365891542567068
8,8,8,condition_9,177.03162393162393,1420.5415384615362,25.80578583003748,151.9072150934112,0.145769356101058,0.1069361303281061
5,5,5,condition_6,194.7548611111111,1428.7649999999978,38.79461089208348,153.98421920893236,0.1991971377286981,0.1077743500218248
47,24,24,control_25,305.30749007936504,1768.0728571428542,70.54450987181468,159.5871323822133,0.2310605280383935,0.0902604956223923
20,20,20,condition_21,77.8491452991453,1029.9792307692285,21.37615158211825,185.43260426462007,0.2745842809189189,0.1800352849116499
32,9,9,control_10,290.43978174603177,1865.657142857139,83.29843339060564,324.4917223177613,0.2868010466398297,0.1739289148384586
41,18,18,control_19,202.425,1345.2513333333316,73.0118982468204,374.1056504302089,0.3606861714058065,0.2780934990811204
38,15,15,control_16,225.28060185185183,1300.921999999999,78.71131851930491,345.4527843528588,0.3493923483525969,0.2655445786548764
50,27,27,control_28,291.96875,1808.226874999996,43.96764202313548,184.38782359359587,0.1505902327668131,0.1019716199017318
51,28,28,control_29,266.3998015873016,1747.5664285714265,64.43161114082605,218.6194126649237,0.2418605823162043,0.1250993433443541
10,10,10,condition_11,130.19347222222223,1250.9759999999983,64.90733187079768,317.9502394535508,0.4985452093942917,0.254161742074629
43,20,20,control_21,259.11641865079366,1508.419999999998,54.87617436393542,215.36210551605427,0.2117819266323335,0.1427733028705894
16,16,16,condition_17,86.65853174603174,839.9771428571422,11.406454309819138,481.2042619612493,0.1316252892819345,0.5728778051322395
21,21,21,condition_22,162.23144841269843,1031.0678571428564,30.4683691223772,170.77310940266608,0.1878080324159414,0.1656274203677412
24,1,1,control_2,407.4586970899471,2044.7390476190456,137.73022685750874,352.1169057132131,0.3380225476623084,0.1722062803677703
53,30,30,control_31,333.0774801587302,2210.7414285714262,119.62056935033496,852.5281662918105,0.359137367357676,0.3856299770175797
19,19,19,condition_20,65.37058531746031,721.2699999999978,17.739953401031183,117.81496013142484,0.2713751653726265,0.1633437688125461
28,5,5,control_6,279.5352941176471,2064.458235294115,124.96957706630744,572.223333293428,0.4470618905593793,0.2771784497795401
1,1,1,condition_2,211.28073830409355,1538.7773684210504,80.92441400065069,528.810407254308,0.383018417344686,0.3436562157116489
2,2,2,condition_3,280.81071428571425,1605.269999999997,61.5777696857456,287.3497079545036,0.2192856844596483,0.1790039731350514
4,4,4,condition_5,172.62237103174604,1300.53857142857,46.444163630801086,259.8164908266871,0.2690506644834567,0.1997760747236377
9,9,9,condition_10,296.40337301587306,1691.55214285714,84.89846930339462,256.5418364795203,0.2864288231255996,0.1516606139295267
31,8,8,control_9,141.17037037037036,1145.389333333331,47.24162554990351,269.0184269702028,0.3346426408456802,0.2348707283551357
25,2,2,control_3,249.64126984126983,1502.539999999998,52.55853240538888,193.96730438202823,0.210536232405833,0.1290929388781853
49,26,26,control_27,315.66672008547005,1808.8692307692288,45.706994233142325,151.59735983087612,0.1447950997836157,0.0838078050376304
