,Unnamed: 0.1,Unnamed: 0,number,Mean_MeanAct,Mean_Q99Act,Std_MeanAct,Std_Q99Act,CV_MeanAct,CV_Q99Act
33,10,10,control_11,189.5217261904762,1413.9314285714252,57.9361983673252,305.6214345799789,0.3056968693346388,0.2161501105387872
26,3,3,control_4,186.39421296296297,1711.9353333333306,59.2682654266462,298.8541878782711,0.3179726692395914,0.1745709560748234
29,6,6,control_7,360.26116071428567,2557.2092857142816,127.2776093331119,1520.2881178172706,0.3532926199448201,0.5945106356019753
36,13,13,control_14,362.2874503968254,2426.4092857142828,109.54368187146105,390.00832867762097,0.3023667580852558,0.1607347659662499
51,28,28,control_29,266.3998015873016,1747.5664285714265,64.43161114082605,218.6194126649237,0.2418605823162043,0.1250993433443541
47,24,24,control_25,305.30749007936504,1768.0728571428542,70.54450987181468,159.5871323822133,0.2310605280383935,0.0902604956223923
12,12,12,condition_13,250.22138888888887,1472.3413333333308,66.7627819035055,202.97792574798007,0.2668148482428557,0.1378606449147529
25,2,2,control_3,249.64126984126983,1502.539999999998,52.55853240538888,193.96730438202823,0.210536232405833,0.1290929388781853
54,31,31,control_32,156.984375,1248.4549999999977,48.36956183709226,134.23612672909832,0.308117045642869,0.1075217983260098
31,8,8,control_9,141.17037037037036,1145.389333333331,47.24162554990351,269.0184269702028,0.3346426408456802,0.2348707283551357
43,20,20,control_21,259.11641865079366,1508.419999999998,54.87617436393542,215.36210551605427,0.2117819266323335,0.1427733028705894
34,11,11,control_12,139.7829166666667,915.6193333333327,48.59936952073608,190.0240361287661,0.3476774607345514,0.2075360678951364
30,7,7,control_8,380.2007870370371,1970.728666666663,125.20210214272352,613.6977733829874,0.3293052155900114,0.3114065288455007
6,6,6,condition_7,295.9755876068376,1651.8876923076896,148.63997416603078,401.2246917076491,0.50220349376746,0.242888601674329
23,0,0,control_1,193.0907118055556,1747.4268749999974,79.18037516743689,488.1833445980263,0.4100682753045749,0.2793726888274092
1,1,1,condition_2,211.28073830409355,1538.7773684210504,80.92441400065069,528.810407254308,0.383018417344686,0.3436562157116489
5,5,5,condition_6,194.7548611111111,1428.7649999999978,38.79461089208348,153.98421920893236,0.1991971377286981,0.1077743500218248
3,3,3,condition_4,286.0647321428572,1710.24071428571,166.28024129048163,609.3400020888174,0.5812678831287855,0.3562890282046121
52,29,29,control_30,218.86478174603167,1494.918571428569,69.88155308859963,450.2417285082637,0.3192909911366617,0.30118144032287
10,10,10,condition_11,130.19347222222223,1250.9759999999983,64.90733187079768,317.9502394535508,0.4985452093942917,0.254161742074629
18,18,18,condition_19,160.59280753968252,1157.2064285714273,72.26929569447613,196.07174984240743,0.4500157684622231,0.1694354135972596
22,22,22,condition_23,246.3935049019608,1555.232352941175,59.11356960550956,239.2106039280396,0.2399152917161134,0.1538102030064233
19,19,19,condition_20,65.37058531746031,721.2699999999978,17.739953401031183,117.81496013142484,0.2713751653726265,0.1633437688125461
20,20,20,condition_21,77.8491452991453,1029.9792307692285,21.37615158211825,185.43260426462007,0.2745842809189189,0.1800352849116499
49,26,26,control_27,315.66672008547005,1808.8692307692288,45.706994233142325,151.59735983087612,0.1447950997836157,0.0838078050376304
46,23,23,control_24,357.70897817460315,2635.94214285714,119.86170913326724,1205.541015836578,0.3350816346431229,0.457347297664839
17,17,17,condition_18,71.43839285714286,665.4914285714277,9.301415324772094,96.54726477877908,0.130201911783939,0.1450766465708379
28,5,5,control_6,279.5352941176471,2064.458235294115,124.96957706630744,572.223333293428,0.4470618905593793,0.2771784497795401
4,4,4,condition_5,172.62237103174604,1300.53857142857,46.444163630801086,259.8164908266871,0.2690506644834567,0.1997760747236377
27,4,4,control_5,246.0089869281046,1403.4670588235274,132.27866474922908,525.1968682285334,0.537698506062655,0.3742138904697811
9,9,9,condition_10,296.40337301587306,1691.55214285714,84.89846930339462,256.5418364795203,0.2864288231255996,0.1516606139295267
40,17,17,control_18,282.2176587301587,1642.4642857142833,88.6772196005255,308.6981242302855,0.3142157014537275,0.1879481501760857
42,19,19,control_20,322.97657407407405,1850.555333333329,122.23160518199558,777.7439053337596,0.3784534699843648,0.4202759524800815
